id,x,y,z,qx,qy,qz,qw
1379,-95.3723,198.281,-5.9174,-0.0390962,0.0201546,0.961918,0.269777
1380,-98.87,200.552,-6.28081,-0.0463469,0.0197047,0.955984,0.289064
1381,-102.018,203.028,-6.65364,-0.0441381,0.0190127,0.933081,0.35644
1382,-104.72,206.348,-7.05093,-0.0408682,0.00810934,0.859637,0.509205
1383,-105.814,210.486,-7.33241,-0.0347992,0.00274707,0.723857,0.689066
1384,-105.174,214.552,-7.52764,-0.0331384,-0.00275085,0.585081,0.810293
1385,-103.255,218.248,-7.62853,-0.0228016,-0.00507137,0.486729,0.873241
1386,-100.854,221.695,-7.67069,-0.0226325,-0.00442411,0.465777,0.884602
1387,-98.5026,225.053,-7.71479,-0.023901,-0.00213977,0.479692,0.877109
1388,-96.2781,228.452,-7.77255,-0.0249023,-0.00170636,0.487932,0.872525
1389,-93.9633,232.024,-7.88009,-0.029249,0.00602941,0.485079,0.87396
1390,-91.6889,235.529,-8.03256,-0.0354351,0.00834003,0.4877,0.872252
1391,-89.4119,239.089,-8.2145,-0.0314721,0.00972498,0.494191,0.868729
1392,-87.2469,242.64,-8.38539,-0.0341892,0.0084658,0.496665,0.867227
1393,-84.8668,246.269,-8.55869,-0.0397236,0.000812811,0.44689,0.893706
1394,-81.9714,249.254,-8.66365,-0.0429145,-0.00364128,0.319112,0.946738
1395,-78.2031,251.003,-8.67171,-0.0398095,-0.0103237,0.110729,0.992999
1396,-73.9068,250.969,-8.56593,-0.0361286,-0.0174332,-0.100567,0.994121
1397,-70.139,249.564,-8.36056,-0.0234659,-0.000112073,-0.215125,0.976305
1398,-66.2838,247.376,-8.29528,-0.0214906,-0.0069232,-0.266275,0.963633
1399,-62.7565,245.075,-8.1715,-0.0172184,-0.010934,-0.275298,0.961143
1400,-59.0972,242.684,-8.02954,-0.0169289,-0.0139245,-0.274843,0.961239
1401,-55.7365,240.49,-7.88018,-0.0164773,-0.0119616,-0.274771,0.961294
1402,-52.3155,238.252,-7.73763,-0.0154126,-0.0108973,-0.274389,0.961434
1403,-48.5466,235.821,-7.5853,-0.0212794,-0.0140079,-0.27636,0.960717
1404,-44.9911,233.46,-7.40271,-0.0223287,-0.013926,-0.284827,0.958218
1405,-41.411,230.962,-7.25182,-0.0190464,-0.000743087,-0.29511,0.955273
1406,-37.8717,228.391,-7.17309,-0.0170051,-0.00385724,-0.297022,0.954711
1407,-34.4941,225.919,-7.07706,-0.0120909,-0.00487175,-0.297938,0.954496
1408,-31.2543,223.596,-6.97954,-0.014447,-0.00778937,-0.293768,0.955736
1409,-27.785,221.168,-6.85793,-0.0137567,-0.00548151,-0.286075,0.958093
1410,-24.2166,218.745,-6.73845,-0.021518,-0.0150279,-0.289084,0.956944
